date,morning,night
2020/3/2,35.6,
2020/3/3,,
2020/3/4,34.99,34.61
2020/3/5,33.29,
2020/3/6,,
2020/3/7,,
2020/3/8,,
2020/3/9,35.72,
2020/3/10,35.56,
2020/3/11,35.57,36.17
2020/3/12,34.98,35.92
2020/3/13,35.41,
2020/3/14,34.39,
2020/3/15,35.58,36.22
2020/3/16,35.37,36.01
2020/3/17,34.68,36.25
2020/3/18,35.85,35.43
2020/3/19,36.23,
2020/3/20,34.88,36.05
2020/3/21,35.58,
2020/3/22,,36.16
2020/3/23,35.4,35.89
2020/3/24,35.98,
2020/3/25,,35.12
2020/3/26,35.79,
2020/3/27,36.08,
2020/3/28,,
2020/3/29,36.29,
2020/3/30,35.89,
2020/3/31,35.91,35.73
2020/4/1,35.76,35.68
2020/4/2,,
2020/4/3,,36.34
2020/4/4,36.2,36.17
2020/4/5,35.69,
2020/4/6,,
2020/4/7,,
,35.4873076923,35.85
